year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1992,37,46,-9,Rotation,MIA,Isaiah Morris,Arkansas,,,,,,,,,,,,,,,,,,,,,
1992,4,7,-3,Star,DAL,Jim Jackson,Ohio State,,,,,,,,,,,,,,,,,,,,,
1992,21,15,6,Elite,BOS,Jon Barry,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1992,5,12,-7,Elite,DEN,LaPhonso Ellis,Notre Dame,,,,,,,,,,,,,,,,,,,,,
1992,24,3,21,Star,GSW,Latrell Sprewell,Alabama,,,,,,,,,,,,,,,,,,,,,
1992,23,28,-5,Solid,MIL,Lee Mayberry,Arkansas,,,,,,,,,,,,,,,,,,,,,
1992,39,39,0,Rotation,CHI,Litterial Green,Georgia,,,,,,,,,,,,,,,,,,,,,
1992,14,22,-8,Starter,IND,Malik Sealy,St. John's,,,,,,,,,,,,,,,,,,,,,
1992,28,35,-7,Role,MIN,Marlon Maxey,Texas-El Paso,,,,,,,,,,,,,,,,,,,,,
1992,50,40,10,Rotation,GSW,Matt Fish,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,
1992,42,19,23,Starter,MIA,Matt Geiger,Georgia Tech,,,,,,,,,,,,,,,,,,,,,
1992,52,48,4,Rotation,CHI,Matt Steigenga,Michigan State,,,,,,,,,,,,,,,,,,,,,
1992,22,18,4,Starter,PHO,Oliver Miller,Arkansas,,,,,,,,,,,,,,,,,,,,,
1992,29,4,25,Star,NJN,P.J. Brown,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,
1992,41,16,25,Starter,HOU,Popeye Jones,Murray State,,,,,,,,,,,,,,,,,,,,,
1992,16,36,-20,Role,LAC,Randy Woods,La Salle,,,,,,,,,,,,,,,,,,,,,
1992,31,47,-16,Rotation,POR,Reggie Smith,TCU,,,,,,,,,,,,,,,,,,,,,
1992,11,10,1,Star,HOU,Robert Horry,Alabama,,,,,,,,,,,,,,,,,,,,,
1992,46,45,1,Rotation,DEN,Robert Werdann,St. John's,,,,,,,,,,,,,,,,,,,,,
1992,49,52,-3,NA,PHO,Ron Ellis,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,
1992,43,24,19,Starter,GSW,Sasha Danilović,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1992,30,26,4,Solid,DAL,Sean Rooks,Arizona,,,,,,,,,,,,,,,,,,,,,
1992,1,1,0,Generational,ORL,Shaquille O'Neal,LSU,,,,,,,,,,,,,,,,,,,,,
1992,40,53,-13,NA,NJN,Steve Rogers,Alabama State University,,,,,,,,,,,,,,,,,,,,,
1992,51,54,-3,NA,MIN,Tim Burroughs,Jacksonville University,,,,,,,,,,,,,,,,,,,,,
1992,8,20,-12,Starter,MIL,Todd Day,Arkansas,,,,,,,,,,,,,,,,,,,,,
1992,6,8,-2,Star,WSB,Tom Gugliotta,NC State,,,,,,,,,,,,,,,,,,,,,
1992,35,33,2,Role,CHH,Tony Bennett,Green Bay,,,,,,,,,,,,,,,,,,,,,
1992,18,21,-3,Starter,SAS,Tracy Murray,UCLA,,,,,,,,,,,,,,,,,,,,,
1992,7,11,-4,Elite,SAC,Walt Williams,Maryland,,,,,,,,,,,,,,,,,,,,,
1993,19,28,-9,Role,BOS,Acie Earl,Iowa,,,,,,,,,,,,,,,,,,,,,
1993,42,34,8,Rotation,SEA,Adonis Jordan,Kansas,,,,,,,,,,,,,,,,,,,,,
1993,44,44,0,NA,SAC,Alex Holcombe,Baylor,,,,,,,,,,,,,,,,,,,,,
1993,11,6,5,Star,DET,Allan Houston,Tennessee,,,,,,,,,,,,,,,,,,,,,
1993,32,37,-5,Rotation,PHI,Alphonso Ford,Mississippi Valley State University,,,,,,,,,,,,,,,,,,,,,
1993,3,3,0,Star,GSW,Anfernee Hardaway,Memphis,,,,,,,,,,,,,,,,,,,,,
1993,41,45,-4,NA,CHI,Anthony Reed,Tulane,,,,,,,,,,,,,,,,,,,,,
1993,7,25,-18,Role,SAC,Bobby Hurley,Duke,,,,,,,,,,,,,,,,,,,,,
1993,45,12,33,Elite,UTA,Bryon Russell,Cal State Long Beach,,,,,,,,,,,,,,,,,,,,,
1993,54,46,8,NA,PHO,Byron Wilson,Utah,,,,,,,,,,,,,,,,,,,,,
1993,6,15,-9,Starter,WSB,Calbert Cheaney,Indiana,,,,,,,,,,,,,,,,,,,,,
1993,22,10,12,Elite,CLE,Chris Mills,Arizona,,,,,,,,,,,,,,,,,,,,,
1993,1,1,0,SuperStar,ORL,Chris Webber,Michigan,,,,,,,,,,,,,,,,,,,,,
1993,47,18,29,Starter,SAS,Chris Whitney,Clemson,,,,,,,,,,,,,,,,,,,,,
1993,38,47,-9,NA,WSB,Conrad McRae,Syracuse,,,,,,,,,,,,,,,,,,,,,
1993,25,22,3,Solid,CHI,Corie Blount,Cincinnati,,,,,,,,,,,,,,,,,,,,,
1993,34,38,-4,Rotation,GSW,Darnell Mee,Western Kentucky,,,,,,,,,,,,,,,,,,,,,
1993,15,33,-18,Rotation,ATL,Doug Edwards,Florida State,,,,,,,,,,,,,,,,,,,,,
1993,35,43,-8,Rotation,MIA,Ed Stokes,Arizona,,,,,,,,,,,,,,,,,,,,,
1993,33,27,6,Role,DAL,Eric Riley,Michigan,,,,,,,,,,,,,,,,,,,,,
1993,23,16,7,Starter,SEA,Ervin Johnson,New Orleans,,,,,,,,,,,,,,,,,,,,,
1993,31,39,-8,Rotation,SAC,Evers Burns,Maryland,,,,,,,,,,,,,,,,,,,,,
1993,26,36,-10,Rotation,ORL,Geert Hammink,LSU,,,,,,,,,,,,,,,,,,,,,
